TEMA,asignatura
Tutoria Psiquiatria,Asignatura 10
Técnicas histológicas,Asignatura 1
15. Diabetes Tipo 1,Asignatura 4
Intervenciones para la modificación de comportamientos de riesgo,Asignatura 7
Valvulopatía arritmia,Asignatura 1
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Patología insuficiencia cardíaca (Patologia )Meek,Asignatura 4
Generalidades de endoscopia digestiva alta y baja,Asignatura 7
TBC,Asignatua 4
Caso 10. Urología - Orquiepididimitis,Asignatura 10
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Seguimiento de tutores,Asignatura 3
Deshidratación (EDA)  / Evaluación oral biológicos,Asignatura 1
Trastornos de oxigenación y ventilación/Vía aérea,Asignatura 10
Prácticas 3 y 4 de fisiología cardiovascular,Asignatura 4
Bases genéticas de la conducta,Asignatura 9
Oliguria/ Lesión renal secundaria a hipovolemia,Asignatura 6
Modificación de la anemia y hemoterapia,Asignatura 10
Anomalías de la diferenciación sexual,Asignatura 7
Tutoria Psiquiatria,Asignatura 10
Seguimiento de tutores,Asignatura 3
Bases electroencefalográfia normal,Asignatura 9
Semiología y psicopatología de la memoria,Asignatura 9
Anfiteatro corazon y circulación coronaria/ Laboratorio histología de corazón grupos 2,Asignatura 1
Hormonas que regulan el metabolismo energetico,Asignatura 4
17. Dislipidemia,Asignatura 4
"Casos clínicos: uroanálisis en IVU, síndrome nefrótico, glomerulopatías, hematuria",Asignatura 7
Teorías de la comunicación y relación medico-paciente ,Asignatura 2
Comunicación intercelular,Asignatura 1
Organización microscópica del hueso,Asignatura 7
Chequeo semanal,Asignatura 7
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Taller  miembro inferior 1 ,Asignatura 9
Lab. Fisiología de la respuesta autónoma,Asignatura 9
Inteligencia artificial en genética médica,Asignatura 1
Neuropatia Guillain Barre,Asignatura 1
SAHOs,Asignatura 10
"ESM-EVALUACIÓN 1ER PERIODO
SYM NUTRICIÓN (9-11 am)",Asignatura 6
Introducción Morfología I Sistema cardiorespiratorio y su contexto,Asignatura 3
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Reunión con tutores,Asignatura 3
Motilidad gastrointestinal,Asignatura 4
Primer examen parcial - Primera correlación clínica,Asignatura 10
Anfiteatro pelvis osea & Cond. Inguinal ,Asignatura 7
Voltajes Biológicos,Asignatura 1
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Prácticas libres Estudiantes,Asignatura 10
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
24. Laboratorio de Resistencia Antimicrobiana  - Grupo B,Asignatura 10
OSCE 2,Asignatura 10
Abordaje Integrado del Cáncer de Próstata,Asignatura 7
1a Evaluación sustentación integradoras grupal,Asignatura 5
Miembro inferior 3,Asignatura 9
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Semiología Endocrinología,Asignatura 10
Impicaciones clinicas de los carbohidratos,Asignatura 2
ESCRITURA CREATIVA PERFORMING MEDICINE,Asignatura 10
Examen final oral primer semestre ,Asignatura 2
Tutoria 3 Semiologia Abdomen,Asignatura 10
Bioenergética y músculo,Asignatura 1
Tutoria 3 Semiologia Abdomen/,Asignatura 10
40. Laboratorio de Hematologia - Grupo B,Asignatura 10
Dislipidemias - Situaciones integradoras,Asignatura 10
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Taller de evaluación psiquiátrica. Sesión 7.  psicopatología de la personalidad,Asignatura 9
18. Obesidad,Asignatura 4
Ciclo vital,Asignatura 9
Valvulopatía arritmia,Asignatura 1
C-SM Trastornos ácido-base 1,Asignatura 6
OSCE 1,Asignatura 10
Oliguria/ Lesión renal secundaria a hipovolemia,Asignatura 6
Expresando la Medicina III Grupo 1 Comunicación sin daño / Grupo 2 Compasión y vulnerabilidad,Asignatura 9
Taller de examen físico osteomuscular ,Asignatura 9
Infección respiratoria alta,Asignatura 4
Sinapsis neuromuscular y contracción de la fibra muscular,Asignatura 7
Hematemesis/ Enf. Ulcerosa- péptica,Asignatura 5
C-SM Aspectos fisiológicos de la gestación que modifican la efectividad y/o seguridad de los fármacos,Asignatura 7
Zika - Inflamación,Asignatura 1
Supletorios IV sem CMC y FPC III,Asignatura 7
Deficiencia de piruvato Carboxilasa ,Asignatura 4
Calidad y ética en investigación cualitativa,Asignatura 9
C-SM Procesos celulares involucrados en el crecimiento y la diferenciación,Asignatura 7
Presentación curso,Asignatura 10
Taller Anatomía Tórax - Grupo Viernes,Asignatura 2
Taller de exploración psicopatológica 2:  Anamnesis - historia clínica,Asignatura 9
Evaluación final práctico,Asignatura 7
Fosa pterigopalatina e inervacion autonoma,Asignatua 4
Zika - Inflamación,Asignatura 1
Obesidad monogénica,Asignatura 1
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Simposio bloque naranja,Asignatura 4
Videos TED,Asignatura 1
Chequeo semanal,Asignatura 7
Relación entre huesos de craneo y cara,Asignatura 3
"1-Evaluaciones semanales
PC2 y SYM2",Asignatura 4
Evaluación final  práctica. Sitemas y Metabolismo1 (Anatomia-histologia-patologia) Retroalimentación del examen,Asignatura 4
Chequeo semanal,Asignatura 9
Evaluación paraclínica de la función renal e interpretación de pruebas,Asignatura 7
Núcleos autónomos del tallo,Asignatura 9
Pares craneanos clase y taller,Asignatura 9
Examen habilidades clínicas,Asignatura 7
Examen final oral,Asignatura 4
Examen final oral,Asignatura 3
Examen final teórico FPC III,Asignatura 9
Prácticas 3 y 4 de fisiología cardiovascular,Asignatura 4
Sistemas reproductores masculino y femenino ,Asignatura 7
Cardio arritmia,Asignatura 1
Estructura anatómica del hipotálamo,Asignatura 9
Examen final oral,Asignatura 3
Acné - Leshmaniasis - Lepra,Asignatura 10
9. Hipovolemia,Asignatura 1
2a Evaluación sustentación integradoras grupal,Asignatura 6
Presentación de protocolos,Asignatura 3
Determinacion del fenotipo celular,Asignatura 1
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
3a Evaluación sustentación integradoras grupal,Asignatura 7
Terapia eléctrica en reanimación/desfibrilación/cardioversión/Marcapaso transcutáneo,Asignatura 10
Generalidades imágenes diagnósticas de la mama,Asignatura 7
Gestación adolescente en población desplazada,Asignatura 7
PH y soluciones,Asignatura 1
EVALUACIÓN 1 T-P ,Asignatura 6
Simposio bloque naranja,Asignatura 4
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Examen final,Asignatura 3
Patología de páncreas y vía biliar,Asignatura 5
Introducción a la Farmacología,Asignatura 1
Toxicidad renal de fármacos,Asignatura 6
Simposio bloque naranja,Asignatura 4
Introducción a los fundamentos de la ciencia,Asignatura 1
Hemotransfusión,Asignatura 1
Aspectos funcionales de la glándula suprarrenal (corteza y médula),Asignatura 6
10. Valvulopatia/Arritmia,Asignatura 4
Tercera Evaluación Parcial,Asignatura 7
Taller de exploración psicopatológica 6. Examen mental de entrevista a paciente,Asignatura 9
Gluconeogénesis,Asignatura 4
Presentación videos,Asignatura 9
Corteza cerebral e integración,Asignatura 9
Debilidad e ictericia / Cirrosis ,Asignatura 5
Chequeo 5,Asignatura 9
Primera evaluación parte grupal Asma,Asignatura 1
Dispepsia - Situaciones integradoras,Asignatura 10
Enfermedad ulceropéptica,Asignatura 10
Introducción AIEPI,Asignatura 10
Presentación estudiantes - tutoria 1,Asignatura 10
2a Evaluación sustentación integradoras grupal,Asignatura 7
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Anfiteatro Sistemas reproductores  ,Asignatura 7
EXAMEN ORAL,Asignatura 10
Actividad integradora - Sindrome medular,Asignatura 7
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Dinámica de los compartimientos líquidos corporales,Asignatura 7
42. Inmunidad Mucosa gástrica,Asignatura 10
Anatomía del periné y mecanismos de continencia,Asignatura 7
Curso de la vida como determinante en salud,Asignatura 1
"Composicion Corporal  (antropometria ), gasto energético y metabolismo.",Asignatura 4
Segunda evaluación,Asignatura 4
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Comunicación,Asignatura 2
Núcleo,Asignatura 1
Actividad integradora - glaucoma,Asignatura 7
Anfiteatro corazon y circulación coronaria/ Laboratorio histología de corazón grupos 2,Asignatura 1
53. CID,Asignatura 10
Enfoque de vulnerabilidad por ciclo de vida,Asignatura 9
Examen final oral,Asignatura 3
Bases Comunicación humana,Asignatura 1
Edema/ Enfermedad renal diabética,Asignatura 6
¿Cómo cambiamos el comportamiento en salud?,Asignatura 9
Fisiología del envejecimiento 1,Asignatura 7
Infecciones de piel y tejidos blandos,Asignatura 10
Repaso Neuroanatomía - histología,Asignatura 9
Taller: Intervención en la fisiología del vaso sanguíneo. Farmacología de HTA ,Asignatura 1
Edema/ Enfermedad renal diabética,Asignatura 6
2a Evaluación sustentación integradoras grupal,Asignatura 7
"Lab bioq, Fisio, Microscopia",Asignatura 1
Chequeo 3,Asignatura 9
"75. Centenarios, caracteristicas del envejecimiento extremo",Asignatura 10
Tutoria 3 Semiologia Abdomen,Asignatura 10
Gestación adolescente en población desplazada,Asignatura 7
Anatomía del estómago y el bazo,Asignatura 7
Laboratorio fisiología sensorial,Asignatura 7
actividad integradora de cierre,Asignatura 9
"Examen práctico histología, neuroanatomía y PFPC III",Asignatura 9
Mitocondria,Asignatura 1
Vejez y Envejecimiento,Asignatura 1
Evaluación del crecimiento y el desarrollo puberal,Asignatura 7
Neurobiología de la conducta sexual,Asignatura 9
Pared venosa,Asignatura 4
"Intestino delgado y grueso, páncreas e hígado",Asignatura 7
Caso 16. Geriatría - Infecciones atípicas,Asignatura 10
Miembro inferior 2,Asignatura 9
El papel de los factores de riesgo y los determinantes sociales en los procesos de salud y enfermedad.,Asignatura 3
19. Laboratorio de Microbiología - Grupo B,Asignatura 10
Valoración funcional del anciano,Asignatura 7
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Examen final teórico FPC III,Asignatura 9
Aspectos clínicos de las hemorragias digestivas,Asignatura 7
¿Fumar para manejar el estrés?,Asignatura 1
"Lab bioq, Fisio, Microscopia",Asignatura 1
Repaso histología,Asignatura 9
"Ciclo celular, mitosis",Asignatura 1
Actividad integradora - oido,Asignatura 7
Infertilidad,Asignatura 1
Tutoria Psiquiatria,Asignatura 10
Desarrollo de nuevos medicamentos,Asignatura 10
Taller anfiteatro de pares craneanos motores,Asignatura 9
EXAMEN ORAL,Asignatura 10
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Tutoria 3 Semiologia Abdomen,Asignatura 10
Dolor torácico no coronario,Asignatura 1
Comunicación,Asignatura 1
Medidas de asociación,Asignatura 3
Función de la terminal sináptica y neuroquímica de la sinapsis,Asignatura 7
Medicinas Complementarias,Asignatura 10
Farmacodinamia de medicamentos para el tratamiento de las demencias,Asignatura 9
Enfermedad por transporte protéico intracelular,Asignatura 1
Encuentro de semilleros,Asignatura 1
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Esferocitosis - esplenectomía,Asignatura 1
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
"Anfiteatro región supraclavicular, superficial de cuello, tiroides y vascular de cuello/ Laboratorio histología de tiroides",Asignatura 1
Anfiteatro Sistema Urinario,Asignatura 7
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Taller farmacocinética/ Metabolismo,Asignatura 5
Tutoria 3 Semiologia Abdomen,Asignatura 10
Enzimas: Cinética e inhibición enzimática,Asignatura 1
Medicamentos antiTBC,Asignatura 10
Presentación de protocolos,Asignatura 3
Nucleos basales como moduladores del movimiento,Asignatura 7
"Anfiteatro de medula espinal, configuración interna reflejos y contenido del canal medular",Asignatura 7
Taller modificación del balance de líquidos y electrolitos desde la intervención en la función suprarrenal,Asignatura 6
Semana de Reflexion,Asignatura 2
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Práctica de enfermería ,Asignatura 2
Dinámica de los compartimientos líquidos corporales,Asignatura 6
Aminoácidos y proteínas,Asignatura 1
C-SM Organización microscópica del sistema reproductor femenino 1,Asignatura 7
Intervenciones no farmacológicas en adultos mayores (Centro de simulación),Asignatura 10
Taller de metabolismo cerebral,Asignatura 7
Pleuras,Asignatura 1
Primera evaluación parte grupal Asma,Asignatura 1
Condiciones clínicas frecuentes durante el embarazo,Asignatura 10
"ESM-EVALUACIÓN FINAL SYM II 
(9-12m)",Asignatura 7
Unidad motora y sinapsis,Asignatura 7
15. Diabetes Tipo 1,Asignatura 4
 Entrevista psiquiátrica,Asignatura 9
2a Evaluación sustentación integradoras grupal,Asignatura 6
Diabtes mellitus - Situaciones integradoras,Asignatura 10
Evaluación del crecimiento y el desarrollo puberal,Asignatura 7
Actividad integradora - oido,Asignatura 7
Modelado vías de administración ,Asignatura 2
Anatomía del hígado y circulación portal,Asignatura 7
EXAMEN TEÓRICO CMC,Asignatura 9
2a Evaluación sustentación integradoras grupal,Asignatura 6
Organizacion general de la historia clínica ,Asignatura 2
OSCE 1,Asignatura 10
Semiología Anemias,Asignatura 10
EPOC,Asignatura 10
12. Falla Cardiaca,Asignatura 4
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Procedimientos SNG /IM Acceso venoso / Especuloscopía/sonda vesical,Asignatura 10
Examen final SYM1,Asignatura 4
Miembro superior 1,Asignatura 7
Estructuras macroscópicas riñón y vías urinarias ,Asignatura 6
Patología maligna de tiroides,Asignatura 1
Procedimiento de inserción de sondas vesicales,Asignatura 7
Laboratorio de función hepática,Asignatura 5
laboratorio histología de ganglios ,Asignatura 9
Tutoria 3 Semiologia Abdomen,Asignatura 10
16. Malnutrición,Asignatura 4
Anfiteatro de Nucleos basales y tallo y Taller de vías medulares y cerebelosas,Asignatura 9
Dolor - Cuidados paliativos - Generalidades,Asignatura 10
Taller de anatomia topografica del cuello. Grupo Jueves,Asignatura 2
Taxonomía de los diseños epidemiológicos,Asignatura 3
Introducción a la anatomía funcional gastrointestinal y peritoneal,Asignatura 4
Primera evaluación sistemas y metabolismo I,Asignatura 3
Manejo renal de solutos,Asignatura 6
11. HTA -IAM,Asignatura 4
Taller de exploración psicopatológica 3: Afecto,Asignatura 9
Vejiga dolorsa - Situaciones integradoras,Asignatura 10
Laboratorio histologia hematopoyetico ,Asignatura 4
77. Vacunación en el anciano,Asignatura 10
Taller de examen neurológico completo,Asignatura 9
Correlación Anatomosemiologica de dolor toracico,Asignatura 2
OSCE 2,Asignatura 10
Introducción (Antecedentes y Justificación).,Asignatura 3
"Disfagia /  Trastorno de la motilidad gastrointestinal
",Asignatura 4
Proteínas de interés biológico,Asignatura 1
Caso 02. Piel - Hipersensibilidad,Asignatura 10
Arbovirosis - Situaciones integradoras,Asignatura 10
3a Evaluación sustentación integradoras grupal,Asignatura 7
Simposio Bloque Naranja,Asignatura 2
Taller de miembro inferior 1 g2,Asignatura 9
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Electricidad,Asignatura 1
Segunda evaluación,Asignatura 4
"Diagnóstico comunitario: contexto, salud y vulnerabilidad",Asignatura 9
Examen Parcial ,Asignatura 9
Taller de anatomía  e histología de ojo,Asignatura 9
Anfiteatro Sistemas reproductores  ,Asignatura 7
Tutoria 3 Semiologia Abdomen,Asignatura 10
C-SM Procesamiento tubular del filtrado y homeostasis hidroelectrolítica 3,Asignatura 6
Infecciones de piel y tejidos blandos - Situaciones integradoras,Asignatura 10
Evaluación oral,Asignatura 1
Chequeo 8,Asignatura 9
Expresando la Medicina IV Grupo 1 Compasión y vulnerabilidad / Grupo 2 Medicina Narrativa,Asignatura 9
Lucía y el samán entre la vida y la muerte ,Asignatura 1
Introducción (Antecedentes y Justificación).,Asignatura 3
9. Hipovolemia,Asignatura 1
Evaluación del crecimiento y el desarrollo puberal,Asignatura 7
Pelvis blanda y periné,Asignatura 7
48. ETS - Sindromes de secrecion uretro vaginales y Secreciones vaginales,Asignatura 10
Taller Anatomía Tórax - Grupo Jueves,Asignatura 2
Seguimiento de tutores,Asignatura 3
Hipertensión arterial - Situaciones integradoras,Asignatura 10
12. Falla Cardiaca,Asignatura 4
HTA-IAM,Asignatura 1
Neurulación,Asignatura 1
Avances taller de Vulnerabilidad,Asignatura 9
Examen final poblacion y salud,Asignatura 3
C-SM Aspectos anatomo-patólogicos de las enfermedades del estómago,Asignatura 5
Tutoria 3 Semiologia Abdomen,Asignatura 10
Procedimientos SNG /IM Acceso venoso / Especuloscopía/sonda vesical,Asignatura 10
Sarcopenia,Asignatura 10
C-SM Aspectos funcionales de la gestación 1 (Inicia 10:30 am),Asignatura 7
Práctica de enfermería ,Asignatura 1
Prácticas 1 y 2 de fisiología cardiovascular,Asignatura 1
Aventuras en investigación ,Asignatura 1
Evaluación oral,Asignatura 1
Caso 11. Sindrome hemorragico/Coagulopatías,Asignatura 10
Terapia eléctrica en reanimación/desfibrilación/cardioversión/Marcapaso transcutáneo,Asignatura 10
Anatomía de la circulación pulmonar y bronquial,Asignatura 3
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Patología de enfermedades obstructivas,Asignatura 1
Neuropatia Guillain Barre,Asignatura 1
"Introducción al desarrollo del SN, embriología ontogenia",Asignatura 7
Síntesis y lisis de los triglicéridos ,Asignatura 4
Semiología: Problemas Eticos en la atención al adulto mayor,Asignatura 10
Prácticas libres Estudiantes,Asignatura 10
Lucía y el samán entre la vida y la muerte ,Asignatura 1
Taller de examen neurológico completo,Asignatura 9
Fisiología vestibular,Asignatura 7
Segunda evaluación fundamentos biológicos,Asignatura 1
El paciente geriátrico,Asignatura 7
Tutorías Clínica Grupo Viernes,Asignatura 2
Estructura de moléculas con carácter lipídico - Lípidos de almacenamiento y estructurales,Asignatura 1
Soporte Vital,Asignatura 1
Menopausia,Asignatura 10
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
"C-SM Secreción salivar y pancreática normal, y su regulación (Proceso)",Asignatura 5
Tercera Evaluación Parcial,Asignatura 7
Anatomía patológica del tracto gastrointestinal  (Hígado),Asignatura 5
Síntesis y oxidación de cueros cetonicos,Asignatura 4
C-SM Formación y excreción de ácidos biliares y bilirrubina,Asignatura 5
Casos relevantes en patología renal,Asignatura 6
3a Evaluación sustentación integradoras grupal,Asignatura 7
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
"Evaluación 3 - Semanas 14-20, Temas 58-81",Asignatura 10
Terapia eléctrica en reanimación/desfibrilación/cardioversión/Marcapaso transcutáneo,Asignatura 10
actividad integradora -endocrino,Asignatura 9
Pronóstico,Asignatura 10
Sistema de salud como DSS ,Asignatura 1
Calidad en los servicios de Salud y la atención del paciente,Asignatura 10
Caso 03. Piel - Infecciosas,Asignatura 10
Anfiteatro de Nucleos basales y tallo y Taller de vías medulares y cerebelosas,Asignatura 9
Farmacología: Del soporte nutricional,Asignatura 3
Herramientas de Gestión Clínica,Asignatura 10
Tutoria 3 Semiologia Abdomen,Asignatura 10
Chequeo semanal,Asignatura 9
Regulación de la fecundidad en poblaciones especiales.,Asignatura 10
3a Evaluación sustentación integradoras grupal,Asignatura 7
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Reunión con tutores,Asignatura 3
Aminoácidos y proteínas,Asignatura 1
Taller de metabolismo de carbohidratos,Asignatura 4
Osteoartritis - Gota - Artritis reumatoide - Pruebas diagnósticas en enfermedades reumatológicas,Asignatura 10
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Modelado vías de administración ,Asignatura 1
Semiología general y errores frecuentes en aproximación inicial al paciente,Asignatura 7
EPOC - Situaciones integradoras,Asignatura 10
Semiologia Ruidos Respiratorios /Rx tórax/ Sesión Ekg 3.,Asignatura 10
Introducción a fármacos del SNA,Asignatura 1
Anatomía patológica del tracto gastrointestinal 1,Asignatura 5
Presentación Semestre,Asignatura 9
Evaluación oral,Asignatura 1
Integración del sistema cardiovascular  (Farmacología),Asignatura 2
Cuidado de la casa común,Asignatura 2
2. Infeccion respiratoria alta,Asignatua 4
Edema/ Enfermedad renal diabética,Asignatura 6
Presentación de protocolos,Asignatura 3
Generalidades de la investigación cualitativa,Asignatura 9
Intervenciones no farmacológicas en adultos mayores (Centro de simulación),Asignatura 10
Simposio Bloque Naranja,Asignatura 2
"Pared abdominal, cavidad oral, faringe, esófago, estómago y bazo",Asignatura 7
Tutoria 3 Semiologia Abdomen,Asignatura 10
Caso 14. S.locomotor - Reumatología,Asignatura 10
Repaso CMC,Asignatura 9
Síntesis de los contenidos abordados en el semestre,Asignatura 3
Sistema digestivo,Asignatura 1
Semiología y psicopatología de la sensopercepción,Asignatura 9
Evaluación de la validez y la reproducibilidad de las pruebas de tamización y diagnóstico,Asignatura 7
Trigemino,Asignatua 4
Anfiteatro encéfalo y medula,Asignatura 7
"Embriología cardiovascular, vasculogésis",Asignatura 4
Anomalías de la diferenciación sexual,Asignatura 7
Aparato reproductor femenino y glándulas mamarias,Asignatura 7
Seguimiento de tutores,Asignatura 3
OSCE 2,Asignatura 10
Entrega y sustentación del póster final ,Asignatura 1
Sistema reproductor masculino (SYM2),Asignatura 6
Introducción (Antecedentes y Justificación).,Asignatura 3
Comunicación del riesgo,Asignatura 7
Actividad integradora - Movimientos anormales,Asignatura 9
"Generalidades de tejido conectivo, células ",Asignatura 1
Primera Evaluación Parcial,Asignatura 7
Simposio Bloque Naranja,Asignatura 2
Evaluación oral,Asignatura 1
Repaso Aantomía FPC III,Asignatura 9
Taller farmacodinamia de sedantes e hipnóticos,Asignatura 9
Abordaje Integrado del Cáncer de Próstata,Asignatura 7
Biologia del desarrollo generalidades ,Asignatura 4
Prácticas 3 y 4 de fisiología cardiovascular,Asignatura 4
Técnica de semiología abdominal y urgencias quirúrgicas,Asignatura 7
Anfiteatro de Nucleos basales y tallo y Taller de vías medulares y cerebelosas,Asignatura 7
EVALUACIÓN 1 T-P ,Asignatura 6
Presentación estudiantes - tutoria 1,Asignatura 10
Semiología Coagulación,Asignatura 10
¿Fumar para manejar el estrés?,Asignatura 1
Semiología y psicopatología del afecto,Asignatura 9
Conducta Suicida ,Asignatura 9
Herida Cervical,Asignatura 3
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Biosintesis de ácidos grasos (Reunión en biblioteca),Asignatura 4
EXAMEN PRÁCTICO HISTOLOGÁ Y ANATOMÍA CMC Y FPC III,Asignatura 9
Interseccionalidad,Asignatura 9
Semiología de las alteraciones de los pares craneanos,Asignatura 9
Examen final poblacion y salud,Asignatura 3
Evaluación de la asignatura y examen final - lavado de manos,Asignatura 2
Ca. Piel,Asignatura 2
Anatomía Topografica del fondo de ojo,Asignatura 2
Laboratorio de función hepática,Asignatura 5
Examen componente práctico módulo 3 FPC III,Asignatura 9
Segundo examen,Asignatura 10
Síndrome Motor,Asignatura 9
Laboratorio de control motor,Asignatura 9
Anfiteatro de dorso,Asignatura 9
"Disfagia /  Trastorno de la motilidad gastrointestinal
",Asignatura 4
Comunicación intercelular para el establecimiento de tejidos,Asignatura 1
Vulnerabilidad ambiental,Asignatura 9
Examen final oral,Asignatura 4
Guillain Barre,Asignatura 2
Tutorías Clínica Grupo Jueves,Asignatura 2
1. Contaminación,Asignatura 4
Actividad integradora -dolor,Asignatura 7
C-SM Bioquímica Clínica de las funciones hipofisiarias,Asignatura 7
OSCE 1,Asignatura 10
Cardiopatía congénita,Asignatura 4
Expresando la Medicina,Asignatura 10
Edema/ Enfermedad renal diabética,Asignatura 6
Epitelios glandulares,Asignatura 1
Seguimiento de tutores,Asignatura 3
chequeo semanal,Asignatura 9
Mecanismos para reemplazar la función del páncreas endocrino,Asignatura 4
Caso 16. Geriatría - Infecciones atípicas,Asignatura 10
Abordaje del paciente con síntomas somáticos,Asignatura 10
Examen teórico práctico de FPC III,Asignatura 9
C-SM Organización microscópica y función del hígado y la vesícula biliar I,Asignatura 5
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Introducción a la farmacocinética,Asignatura 1
Evaluación 1 Biológicas,Asignatura 1
Uso racional de antibióticos,Asignatura 10
Osteoartritis - Gota - Artritis reumatoide - Pruebas diagnósticas en enfermedades reumatológicas - Situaciones integradoras,Asignatura 10
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Organización del sistema endocrino,Asignatura 1
Determinantes de los patrones de alimentación,Asignatura 3
Taller  de farmacodinamia de medicamentos que regulan el afecto: Antidepresivos y Moduladores del afecto. Consideraciones generles de psicofármacos,Asignatura 9
Hipovolemia,Asignatura 1
Introducción (Antecedentes y Justificación).,Asignatura 3
Mecanismos potenciales para intervenir en la contractilidad uterina 2,Asignatura 7
Examen final teórico CMC,Asignatura 9
C-P Semiología de la cavidad oral,Asignatura 7
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Ciclo de formulación de políticas,Asignatura 9
Examen Final,Asignatura 9
"Patología placenta
",Asignatura 7
chequeo semanal,Asignatura 9
"Anfiteatro región supraclavicular, superficial de cuello, tiroides y vascular de cuello/ Laboratorio histología de tiroides",Asignatura 1
1a Evaluación sustentación integradoras grupal,Asignatura 5
Anfiteatro corazon y circulación coronaria/ Laboratorio histología de corazón grupos 2,Asignatura 1
"Anatomía e histología de orbita, ojo, párpados y vías lacrimales 
( parte 1)",Asignatura 9
34. TBC Microbiología,Asignatura 10
Uniones intercelulares,Asignatura 1
43. Laboratorio Gastro - EDA - Grupo B,Asignatura 10
Taller de miembro superior 1,Asignatura 9
Simposio bloque naranja,Asignatura 4
Semiología de olfato y gusto,Asignatura 9
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
C-SM Neoplasias prevalentes del sistema reproductor femenino (Ovario),Asignatura 7
Taller morfofuncional y laboratorio de hipófisis,Asignatura 9
Alteraciones en el metabolismo del calcio + Taller - mecanismos potenciales para intervenir en la osteoporosis y el metabolismo fosfocálcico.,Asignatura 7
C-SM Errores innatos del metabolismo hepato - renal,Asignatura 6
Evaluación oral,Asignatura 1
Tálamo y vías ascendentes medulares y propiocepción,Asignatura 9
De la molécula al individuo,Asignatura 1
1a Evaluación sustentación integradoras grupal,Asignatura 5
Estructura de membrana y glucocálix,Asignatura 1
Redes de apoyo social como determinante social,Asignatura 1
Cefaleas - Situaciones integradoras,Asignatura 10
19. Laboratorio de Microbiología - Grupo A,Asignatura 10
Taller de cráneo -cara anfiteatro ,Asignatura 9
Diabetes tipo 1,Asignatura 4
actividad integradora - Psicosis,Asignatura 9
Infecciones de piel y tejidos blandos - Situaciones integradoras,Asignatura 10
Actividad integradora - Sindrome medular,Asignatura 7
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Gestación adolescente en población desplazada,Asignatura 7
C-SM Anatomía funcional del eje hipotálamo-hipófisis-gonadal,Asignatura 6
Dinámica capilar,Asignatura 3
Neurobiología del pensamiento - fisiopatología de las alteraciones del pensamiento y sensopercepción,Asignatura 9
Fragilidad,Asignatura 10
Evaluación 2 - Semanas 7 - 13 - Temas 30-57,Asignatura 10
Semiología y psicopatología de la conducta motora,Asignatura 9
Revisiones sistemáticas de la literatura,Asignatura 10
Supletorio I corte (Pruebas rápidas),Asignatura 7
Sangrado vaginal,Asignatura 7
Evaluación oral,Asignatura 1
Experimentos clínicos,Asignatura 7
